game_id,season_id,year,phase,date,home_team,away_team,home_win,home_win_rate_10,home_runs_scored_10,home_runs_allowed_10,away_win_rate_10,away_runs_scored_10,away_runs_allowed_10,home_starter_ERA,home_starter_WHIP,home_starter_FIP,away_starter_ERA,away_starter_WHIP,away_starter_FIP,home_bullpen_ERA,home_bullpen_WHIP,away_bullpen_ERA,away_bullpen_WHIP,home_lineup_OPS,home_lineup_OBP,home_lineup_SLG,away_lineup_OPS,away_lineup_OBP,away_lineup_SLG,win_rate_diff,runs_scored_diff,run_diff_10,starter_ERA_diff,starter_WHIP_diff,starter_FIP_diff,lineup_OPS_diff,lineup_OBP_diff,lineup_SLG_diff,bullpen_ERA_diff,bullpen_WHIP_diff
KdWxX,CPBL-2024-xa,2024,一軍,2024-07-07,味全龍,台鋼雄鷹,1,0.2,3.2,4.7,0.2,4.1,6.2,2.979,1.241,2.915,4.235,1.324,2.534,1.1455,0.8214999999999999,3.01075,1.35725,0.705,0.3362222222222222,0.369,0.7007777777777778,0.35177777777777774,0.3488888888888889,0.0,-0.8999999999999995,0.6000000000000005,-1.2560000000000002,-0.08299999999999996,0.3810000000000002,0.004222222222222127,-0.015555555555555545,0.02011111111111108,-1.8652499999999999,-0.5357500000000002
mODTf,CPBL-2024-xa,2024,一軍,2024-07-07,統一7-ELEVEn獅,中信兄弟,0,0.5,3.9,4.6,0.7,5.5,3.4,1.989,1.105,1.78,1.5,1.25,3.955,3.375,1.1749999999999998,3.482666666666667,1.2956666666666667,0.7717777777777778,0.3701111111111111,0.40155555555555555,0.7506666666666667,0.35988888888888887,0.391,-0.19999999999999996,-1.6,-2.8,0.4890000000000001,-0.14500000000000002,-2.175,0.02111111111111108,0.010222222222222244,0.01055555555555554,-0.1076666666666668,-0.12066666666666692
7DMwV,CPBL-2024-xa,2024,一軍,2024-07-06,樂天桃猿,富邦悍將,1,0.6,4.9,4.4,0.6,4.5,4.8,2.581,1.224,2.681,4.421,1.544,4.683,4.745,1.4685000000000001,3.7853333333333334,1.3549999999999998,0.7040000000000001,0.32822222222222225,0.37555555555555553,0.6572222222222223,0.31555555555555553,0.34155555555555556,0.0,0.40000000000000036,0.7999999999999998,-1.8400000000000003,-0.32000000000000006,-2.002,0.04677777777777781,0.012666666666666715,0.033999999999999975,0.9596666666666667,0.11350000000000038
BVD5e,CPBL-2024-xa,2024,一軍,2024-07-06,味全龍,台鋼雄鷹,1,0.2,3.0,4.9,0.3,4.6,5.3,3.35,1.336,4.261,2.227,1.16,3.091,2.6786666666666665,1.27,2.0455,1.20825,0.6725555555555556,0.3152222222222222,0.35733333333333334,0.7133333333333334,0.35033333333333333,0.36333333333333334,-0.09999999999999998,-1.5999999999999996,-1.2000000000000002,1.1230000000000002,0.17600000000000016,1.17,-0.0407777777777778,-0.03511111111111115,-0.006000000000000005,0.6331666666666664,0.06174999999999997
BVRai,CPBL-2024-xa,2024,一軍,2024-07-06,統一7-ELEVEn獅,中信兄弟,0,0.6,4.8,4.5,0.7,5.8,3.4,1.674,1.0,2.192,2.531,1.137,3.544,3.0789999999999997,1.158,2.8425000000000002,1.3955,0.7541111111111111,0.3585555555555555,0.3957777777777778,0.7345555555555555,0.35744444444444445,0.3771111111111111,-0.09999999999999998,-1.0,-2.1,-0.8570000000000002,-0.137,-1.3519999999999999,0.019555555555555548,0.0011111111111110628,0.018666666666666665,0.2364999999999995,-0.23750000000000004
U2dze,CPBL-2024-xa,2024,一軍,2024-07-05,樂天桃猿,富邦悍將,0,0.7,4.7,4.0,0.6,5.0,4.2,1.764,1.146,3.499,4.443,1.519,4.337,4.658333333333333,1.5970000000000002,2.2359999999999998,1.0030000000000001,0.6877777777777777,0.3198888888888889,0.36822222222222223,0.6921111111111111,0.33144444444444443,0.36077777777777775,0.09999999999999998,-0.2999999999999998,-0.09999999999999964,-2.6789999999999994,-0.373,-0.8379999999999996,-0.004333333333333411,-0.011555555555555541,0.007444444444444476,2.4223333333333334,0.5940000000000001
a8TUn,CPBL-2024-xa,2024,一軍,2024-07-05,味全龍,台鋼雄鷹,0,0.2,3.4,4.9,0.3,4.8,5.8,2.503,1.311,3.758,3.0,1.196,2.318,2.9659999999999997,1.1253333333333335,4.985,1.385,0.6962222222222222,0.3223333333333333,0.3741111111111111,0.726125,0.34625,0.38,-0.09999999999999998,-1.4,-0.5000000000000004,-0.4969999999999999,0.11499999999999999,1.44,-0.029902777777777834,-0.023916666666666697,-0.005888888888888888,-2.0190000000000006,-0.2596666666666665
8pNe0,CPBL-2024-xa,2024,一軍,2024-07-05,統一7-ELEVEn獅,中信兄弟,0,0.6,4.5,4.0,0.7,5.2,3.1,1.464,0.976,2.724,3.447,1.197,3.074,4.2838,1.444,4.69475,1.351,0.73975,0.371,0.36874999999999997,0.7738888888888888,0.3652222222222222,0.40844444444444444,-0.09999999999999998,-0.7000000000000002,-1.6,-1.983,-0.22100000000000009,-0.34999999999999964,-0.03413888888888883,0.005777777777777771,-0.03969444444444448,-0.4109499999999997,0.09299999999999997
uO2MB,CPBL-2024-xa,2024,一軍,2024-07-02,富邦悍將,樂天桃猿,1,0.5,5.0,5.0,0.8,5.1,4.0,1.881,1.119,2.249,4.418,1.473,3.613,1.3295,0.996,2.205,1.29,0.6616666666666666,0.34044444444444444,0.32111111111111107,0.6906666666666667,0.3211111111111111,0.36966666666666664,-0.30000000000000004,-0.09999999999999964,-1.0999999999999996,-2.537,-0.3540000000000001,-1.3639999999999999,-0.029000000000000026,0.019333333333333313,-0.048555555555555574,-0.8755000000000002,-0.29400000000000004
L3D14,CPBL-2024-xa,2024,一軍,2024-07-01,台鋼雄鷹,富邦悍將,0,0.4,5.1,4.8,0.4,4.3,5.3,8.217,1.826,7.035,3.84,1.32,3.602,3.1524285714285716,1.1615714285714287,4.687399999999999,1.4848000000000001,0.6839999999999999,0.33666666666666667,0.3473333333333333,0.6527777777777778,0.32033333333333336,0.33222222222222225,0.0,0.7999999999999998,1.2999999999999998,4.377000000000001,0.506,3.4330000000000003,0.03122222222222215,0.01633333333333331,0.015111111111111075,-1.5349714285714278,-0.3232285714285714
