rank_test_accuracy,mean_test_accuracy,std_test_accuracy,mean_test_auc,mean_test_neg_brier,mean_fit_time,param_rf__n_estimators,param_rf__max_depth,param_rf__min_samples_leaf,param_rf__max_features
53,0.6036150796336694,0.023122363600847812,0.6546187360974248,-0.2318168207292357,3.734040379524231,300,10,30,
55,0.603554261013084,0.016059219957631838,0.6491944173694902,-0.23244412690120247,0.7586485743522644,200,12,15,log2
56,0.6034163859486533,0.03210438188502791,0.6492869253683597,-0.2327197672048034,11.326447546482086,800,16,15,0.8
57,0.6031413191750795,0.02667586289086431,0.6515783652680616,-0.23214581334328505,4.725400507450104,800,10,20,log2
58,0.6029775742319087,0.028712163363315044,0.6515891357739991,-0.2321518139742832,2.663961410522461,800,12,20,log2
59,0.6028487780305831,0.029018766670741294,0.6511416031049764,-0.23219212189836555,8.008872330188751,1200,,20,sqrt
60,0.602554316983136,0.028196696861436544,0.6528561168274913,-0.23205269121908148,11.847385823726654,1200,8,1,0.4
61,0.6023821765321477,0.019292946542688174,0.6527026863498049,-0.23249939713490658,15.460171699523926,800,10,10,
62,0.6023472277903024,0.02522213235850625,0.6488941392902765,-0.23315305377004647,8.487301588058472,500,8,2,0.8
63,0.6022359059598994,0.020594927190389082,0.652926718183979,-0.23225562049080403,20.680680632591248,1200,12,10,
63,0.6022359059598994,0.01909706767733702,0.6415609609210777,-0.234495305655927,0.9912368059158325,200,12,2,sqrt
65,0.6022184315889767,0.023463330492892547,0.650593431740023,-0.2325916706527917,12.019691526889801,800,,10,0.6
66,0.6022009572180541,0.029844538052257973,0.6531826836704112,-0.23184426752199214,17.186932384967804,1200,6,15,
67,0.6020721610167284,0.02111376991924915,0.6452356220146924,-0.23318508164455795,0.9600555896759033,200,8,2,log2
68,0.6020546866458059,0.02441195654195647,0.6527656296081074,-0.23209074773518823,14.063686907291412,800,,20,
69,0.6009855284874549,0.017004691915335997,0.6523637365770059,-0.23286903517844348,11.28633975982666,500,,10,
70,0.6009680541165322,0.01838382917524332,0.6428796247279793,-0.23366230052191847,2.3420984148979187,500,16,5,log2
71,0.6004160006664341,0.018489437187395326,0.6457126855431755,-0.23308289258889683,5.751043736934662,1200,,5,log2
72,0.6003829718275393,0.020117412788630967,0.6460558268596177,-0.23337463408745648,1.6583479046821594,300,10,2,log2
73,0.6003564185935116,0.03281110683124637,0.6529366884616299,-0.23217899942078035,1.9576604962348938,500,,30,log2
74,0.5998483927483638,0.020284362092101407,0.6479395011097647,-0.23292509524037605,2.486059069633484,300,10,10,0.4
75,0.5995888804427622,0.017350484358741126,0.643702294884211,-0.2337333001549159,2.6112555861473083,300,12,5,log2
76,0.5982181022768096,0.022941010610239697,0.6450649450924235,-0.2334886382511312,6.534087419509888,1200,12,2,log2
77,0.5980194085917936,0.028002402112756633,0.6450877652830759,-0.23410153150943475,5.641249716281891,300,,2,0.4
78,0.5975197782544632,0.024862126982868715,0.6500124479730738,-0.23255033963331398,5.430288732051849,500,8,10,0.6
79,0.5970809665377186,0.023572977925454843,0.647630145190915,-0.23321725116009695,3.7867228388786316,500,10,2,log2
80,0.5970460177958734,0.025217114304145305,0.6500677548119869,-0.23264964220132922,1.3939956426620483,300,,10,log2
