game_id,season_id,year,phase,group,date,started_at,ended_at,location,innings,audience,status,finished_status,home_team,home_team_id,away_team,away_team_id,home_runs,away_runs,home_hits,away_hits,home_errors,away_errors,home_scores,away_scores,winner_side,home_win
f5t9t,CPBL-2026-oB,2026,一軍,例行賽,2026-05-02,2026-05-02 16:05,2026-05-02 19:19,亞太國際棒球訓練中心-主球場,9,,FINISHED,NORMAL,統一7-ELEVEn獅,NsGzj,樂天桃猿,b7yJt,9,2,13,8,0,3,"4,0,1,0,0,0,0,4,0","0,2,0,0,0,0,0,0,0",HOME,1
SgSxl,CPBL-2026-oB,2026,一軍,例行賽,2026-05-01,2026-05-01 17:05,2026-05-01 19:42,臺北市立天母棒球場,9,,FINISHED,NORMAL,味全龍,GJ5tu,富邦悍將,H0zzP,3,1,5,7,0,4,"0,2,0,1,0,0,0,0,0","0,0,0,0,0,0,0,1,0",HOME,1
OB8x3,CPBL-2026-oB,2026,一軍,例行賽,2026-05-01,2026-05-01 16:05,2026-05-01 18:47,臺北大巨蛋,9,,FINISHED,NORMAL,台鋼雄鷹,UuZ3x,中信兄弟,RAe8S,0,2,9,3,0,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,2,0,0,0",AWAY,0
8wLQU,CPBL-2026-oB,2026,一軍,例行賽,2026-05-01,2026-05-01 16:05,2026-05-01 18:17,亞太國際棒球訓練中心-主球場,9,,FINISHED,NORMAL,統一7-ELEVEn獅,NsGzj,樂天桃猿,b7yJt,3,0,7,5,1,0,"1,1,0,0,0,1,0,0,0","0,0,0,0,0,0,0,0,0",HOME,1
PTH8b,CPBL-2026-oB,2026,一軍,例行賽,2026-04-30,2026-04-30 18:35,2026-04-30 20:57,臺中市洲際棒球場,9,,FINISHED,NORMAL,中信兄弟,RAe8S,樂天桃猿,b7yJt,1,3,1,6,1,0,"0,1,0,0,0,0,0,0,0","0,0,0,3,0,0,0,0,0",AWAY,0
sbzxH,CPBL-2026-oB,2026,一軍,例行賽,2026-04-29,2026-04-29 19:59,2026-04-29 22:43,新北市立新莊棒球場,9,,FINISHED,NORMAL,富邦悍將,H0zzP,台鋼雄鷹,UuZ3x,1,5,8,8,0,1,"1,0,0,0,0,0,0,0,0","1,0,3,0,0,1,0,0,0",AWAY,0
kXJV1,CPBL-2026-oB,2026,一軍,例行賽,2026-04-29,2026-04-29 18:35,2026-04-29 21:13,臺中市洲際棒球場,8,,FINISHED,NORMAL,中信兄弟,RAe8S,樂天桃猿,b7yJt,2,2,6,7,1,2,"1,0,0,0,1,0,0,0","0,0,0,0,2,0,0,0",TIE,
ZY6hT,CPBL-2026-oB,2026,一軍,例行賽,2026-04-29,2026-04-29 18:35,2026-04-29 21:02,臺北市立天母棒球場,9,,FINISHED,NORMAL,味全龍,GJ5tu,統一7-ELEVEn獅,NsGzj,1,0,5,6,2,1,"0,0,0,0,0,1,0,0,0","0,0,0,0,0,0,0,0,0",HOME,1
BlizF,CPBL-2026-oB,2026,一軍,例行賽,2026-04-28,2026-04-28 18:35,2026-04-28 21:04,新北市立新莊棒球場,9,,FINISHED,NORMAL,富邦悍將,H0zzP,台鋼雄鷹,UuZ3x,6,0,10,3,1,3,"1,1,0,1,0,0,2,1,0","0,0,0,0,0,0,0,0,0",HOME,1
xX3PE,CPBL-2026-oB,2026,一軍,例行賽,2026-04-28,2026-04-28 18:35,2026-04-28 21:12,臺北市立天母棒球場,9,,FINISHED,NORMAL,味全龍,GJ5tu,統一7-ELEVEn獅,NsGzj,5,3,9,7,1,1,"1,2,0,0,0,2,0,0,0","0,0,0,1,2,0,0,0,0",HOME,1
ZSXnb,CPBL-2026-oB,2026,一軍,例行賽,2026-04-26,2026-04-26 17:05,2026-04-26 19:57,樂天桃園棒球場,9,,FINISHED,NORMAL,樂天桃猿,b7yJt,味全龍,GJ5tu,3,2,8,6,1,1,"0,0,0,0,0,0,2,0,1","0,0,0,0,0,0,0,0,2",HOME,1
G6qfU,CPBL-2026-oB,2026,一軍,例行賽,2026-04-26,2026-04-26 17:05,2026-04-26 20:49,臺中市洲際棒球場,9,,FINISHED,NORMAL,中信兄弟,RAe8S,富邦悍將,H0zzP,5,8,8,9,0,0,"0,0,1,0,0,0,2,2,0","0,0,0,0,0,7,1,0,0",AWAY,0
t6ETa,CPBL-2026-oB,2026,一軍,例行賽,2026-04-26,2026-04-26 16:05,2026-04-26 19:21,亞太國際棒球訓練中心-主球場,9,,FINISHED,NORMAL,統一7-ELEVEn獅,NsGzj,台鋼雄鷹,UuZ3x,9,5,13,13,1,0,"5,1,0,1,0,0,0,2,0","2,0,2,0,0,0,1,0,0",HOME,1
