game_id,season_id,year,phase,date,group,team,team_id,side,opponent,runs_scored,runs_allowed,hits,errors,win
nDzTh,CPBL-2024-xa,2024,一軍,2024-06-25,例行賽,富邦悍將,uIOrj,home,台鋼雄鷹,6,5,11,0,1
nDzTh,CPBL-2024-xa,2024,一軍,2024-06-25,例行賽,台鋼雄鷹,U64ee,away,富邦悍將,5,6,14,0,0
GhED2,CPBL-2024-xa,2024,一軍,2024-06-23,例行賽,樂天桃猿,Iqkqa,home,富邦悍將,4,2,7,0,1
GhED2,CPBL-2024-xa,2024,一軍,2024-06-23,例行賽,富邦悍將,uIOrj,away,樂天桃猿,2,4,7,0,0
Y81M0,CPBL-2024-xa,2024,一軍,2024-06-23,例行賽,統一7-ELEVEn獅,GyWE7,home,味全龍,4,1,5,0,1
Y81M0,CPBL-2024-xa,2024,一軍,2024-06-23,例行賽,味全龍,BNi6c,away,統一7-ELEVEn獅,1,4,3,0,0
e8px9,CPBL-2024-xa,2024,一軍,2024-06-23,例行賽,台鋼雄鷹,U64ee,home,中信兄弟,2,10,6,0,0
e8px9,CPBL-2024-xa,2024,一軍,2024-06-23,例行賽,中信兄弟,M45m3,away,台鋼雄鷹,10,2,14,0,1
0Okj5,CPBL-2024-xa,2024,一軍,2024-06-22,例行賽,樂天桃猿,Iqkqa,home,富邦悍將,7,2,11,0,1
0Okj5,CPBL-2024-xa,2024,一軍,2024-06-22,例行賽,富邦悍將,uIOrj,away,樂天桃猿,2,7,11,0,0
OVB5h,CPBL-2024-xa,2024,一軍,2024-06-22,例行賽,統一7-ELEVEn獅,GyWE7,home,味全龍,2,1,5,0,1
OVB5h,CPBL-2024-xa,2024,一軍,2024-06-22,例行賽,味全龍,BNi6c,away,統一7-ELEVEn獅,1,2,3,0,0
QO8CK,CPBL-2024-xa,2024,一軍,2024-06-22,例行賽,台鋼雄鷹,U64ee,home,中信兄弟,1,2,5,0,0
QO8CK,CPBL-2024-xa,2024,一軍,2024-06-22,例行賽,中信兄弟,M45m3,away,台鋼雄鷹,2,1,9,0,1
5RZVs,CPBL-2024-xa,2024,一軍,2024-06-21,例行賽,樂天桃猿,Iqkqa,home,台鋼雄鷹,7,6,9,0,1
5RZVs,CPBL-2024-xa,2024,一軍,2024-06-21,例行賽,台鋼雄鷹,U64ee,away,樂天桃猿,6,7,11,0,0
tqCP2,CPBL-2024-xa,2024,一軍,2024-06-21,例行賽,統一7-ELEVEn獅,GyWE7,home,富邦悍將,4,1,9,0,1
tqCP2,CPBL-2024-xa,2024,一軍,2024-06-21,例行賽,富邦悍將,uIOrj,away,統一7-ELEVEn獅,1,4,9,0,0
Gk1TW,CPBL-2024-xa,2024,一軍,2024-06-21,例行賽,味全龍,BNi6c,home,中信兄弟,4,11,8,0,0
Gk1TW,CPBL-2024-xa,2024,一軍,2024-06-21,例行賽,中信兄弟,M45m3,away,味全龍,11,4,14,0,1
lpcLd,CPBL-2024-xa,2024,一軍,2024-06-20,例行賽,統一7-ELEVEn獅,GyWE7,home,富邦悍將,0,12,6,0,0
lpcLd,CPBL-2024-xa,2024,一軍,2024-06-20,例行賽,富邦悍將,uIOrj,away,統一7-ELEVEn獅,12,0,15,0,1
zlCEK,CPBL-2024-xa,2024,一軍,2024-06-20,例行賽,味全龍,BNi6c,home,中信兄弟,0,3,2,0,0
zlCEK,CPBL-2024-xa,2024,一軍,2024-06-20,例行賽,中信兄弟,M45m3,away,味全龍,3,0,6,0,1
KPCno,CPBL-2024-xa,2024,一軍,2024-06-20,例行賽,樂天桃猿,Iqkqa,home,台鋼雄鷹,4,3,14,0,1
KPCno,CPBL-2024-xa,2024,一軍,2024-06-20,例行賽,台鋼雄鷹,U64ee,away,樂天桃猿,3,4,7,0,0
mvzpk,CPBL-2024-xa,2024,一軍,2024-06-18,例行賽,中信兄弟,M45m3,home,富邦悍將,9,2,11,0,1
mvzpk,CPBL-2024-xa,2024,一軍,2024-06-18,例行賽,富邦悍將,uIOrj,away,中信兄弟,2,9,8,0,0
04GO2,CPBL-2024-xa,2024,一軍,2024-06-18,例行賽,樂天桃猿,Iqkqa,home,統一7-ELEVEn獅,5,2,12,0,1
04GO2,CPBL-2024-xa,2024,一軍,2024-06-18,例行賽,統一7-ELEVEn獅,GyWE7,away,樂天桃猿,2,5,6,0,0
yxlVc,CPBL-2024-xa,2024,一軍,2024-06-18,例行賽,味全龍,BNi6c,home,台鋼雄鷹,2,9,8,0,0
yxlVc,CPBL-2024-xa,2024,一軍,2024-06-18,例行賽,台鋼雄鷹,U64ee,away,味全龍,9,2,12,0,1
gSMNe,CPBL-2024-xa,2024,一軍,2024-06-16,例行賽,味全龍,BNi6c,home,樂天桃猿,8,0,12,0,1
gSMNe,CPBL-2024-xa,2024,一軍,2024-06-16,例行賽,樂天桃猿,Iqkqa,away,味全龍,0,8,2,0,0
u7IMm,CPBL-2024-xa,2024,一軍,2024-06-16,例行賽,富邦悍將,uIOrj,home,台鋼雄鷹,6,8,14,0,0
u7IMm,CPBL-2024-xa,2024,一軍,2024-06-16,例行賽,台鋼雄鷹,U64ee,away,富邦悍將,8,6,10,0,1
q1qck,CPBL-2024-xa,2024,一軍,2024-06-16,例行賽,中信兄弟,M45m3,home,統一7-ELEVEn獅,2,11,8,0,0
q1qck,CPBL-2024-xa,2024,一軍,2024-06-16,例行賽,統一7-ELEVEn獅,GyWE7,away,中信兄弟,11,2,9,0,1
cPhm6,CPBL-2024-xa,2024,一軍,2024-06-15,例行賽,富邦悍將,uIOrj,home,台鋼雄鷹,3,8,10,0,0
cPhm6,CPBL-2024-xa,2024,一軍,2024-06-15,例行賽,台鋼雄鷹,U64ee,away,富邦悍將,8,3,12,0,1
mnm6L,CPBL-2024-xa,2024,一軍,2024-06-15,例行賽,中信兄弟,M45m3,home,統一7-ELEVEn獅,6,2,14,0,1
mnm6L,CPBL-2024-xa,2024,一軍,2024-06-15,例行賽,統一7-ELEVEn獅,GyWE7,away,中信兄弟,2,6,6,0,0
